x_lsat,x_ugpa,x_fulltime,x_fam_inc,x_tier,z_white,y_zgpa
38.0,3.1,1,3.0,3,1,-0.83
44.0,3.5,1,4.0,5,1,-0.68
41.0,4.0,1,4.0,4,1,0.15
48.0,3.3,1,4.0,6,1,-0.8
39.0,3.0,2,2.0,3,1,1.3
34.0,4.0,1,4.0,3,1,1.23
42.0,3.0,1,4.0,3,1,-0.42
36.0,3.8,1,3.0,3,1,0.88
35.5,3.9,1,1.0,3,1,1.3
42.0,3.0,1,3.0,4,1,0.28
29.5,3.1,1,4.0,2,1,-0.57
42.0,3.4,1,3.0,6,1,-0.19
36.0,2.9,2,4.0,3,1,-0.18
33.0,2.8,1,3.0,3,1,-0.9
38.0,3.2,1,3.0,6,0,-1.58
32.0,3.7,1,3.0,5,1,-0.34
35.0,2.9,1,2.0,3,1,0.3
39.5,2.9,1,2.0,5,1,-0.67
41.0,3.4,1,3.0,4,1,0.49
30.0,2.7,1,5.0,2,1,-1.2
40.0,3.3,1,3.0,4,1,1.19
39.0,3.5,1,4.0,4,1,0.58
32.0,3.2,1,4.0,4,1,-0.4
33.0,3.7,1,3.0,3,1,1.33
34.0,2.6,1,3.0,3,1,0.36
33.0,3.1,1,4.0,3,1,-0.39
24.0,2.8,1,2.0,3,0,-1.77
48.0,3.9,1,5.0,6,1,1.0
43.0,3.9,1,3.0,5,1,0.91
45.0,3.3,1,5.0,5,1,0.38
44.0,2.7,1,4.0,4,1,0.13
45.0,3.9,1,3.0,5,1,0.72
21.0,3.3,1,1.0,1,1,0.71
44.0,3.7,1,3.0,6,1,1.14
35.0,3.0,1,3.0,3,1,-0.16
46.0,3.3,1,4.0,4,1,0.97
44.0,2.7,1,4.0,3,1,-0.41
26.0,2.3,1,3.0,5,0,-1.52
31.0,3.5,1,3.0,5,1,-1.48
44.0,3.7,1,3.0,5,1,1.41
45.0,3.7,1,4.0,6,1,-1.1
41.0,2.7,1,4.0,3,1,-1.64
33.0,3.2,1,4.0,3,1,-0.55
38.0,3.4,1,4.0,3,1,0.62
30.5,3.0,1,3.0,1,1,-0.21
31.0,2.8,1,3.0,3,1,0.23
34.0,3.5,1,4.0,2,1,0.5
37.0,2.3,1,3.0,3,1,-0.86
35.0,3.1,1,4.0,4,1,0.06
34.0,3.2,1,4.0,3,1,1.33
33.0,3.7,1,4.0,3,1,1.31
44.0,3.4,1,3.0,4,1,0.9
32.0,3.0,1,3.0,4,0,-1.47
32.0,2.9,1,4.0,3,1,-1.66
41.0,3.5,1,4.0,4,1,-0.4
39.0,3.6,1,1.0,3,1,1.79
39.0,3.1,1,5.0,3,1,0.22
47.0,4.0,1,3.0,6,1,-1.08
39.0,3.8,1,4.0,3,1,0.92
37.5,2.6,2,3.0,3,1,0.97
33.0,3.9,1,3.0,4,1,-0.57
30.0,3.1,1,4.0,2,1,-0.09
31.0,3.0,1,3.0,4,1,0.43
42.0,3.2,1,4.0,5,1,-0.29
38.0,3.7,1,3.0,4,1,1.54
37.0,2.9,2,3.0,3,1,-0.33
36.0,3.4,2,3.0,5,1,-0.22
43.0,3.1,1,2.0,5,1,0.13
44.0,3.1,1,3.0,4,1,2.23
29.0,2.5,1,4.0,2,1,0.61
36.0,3.1,1,4.0,3,1,0.63
23.0,2.3,1,3.0,3,0,-0.2
42.0,3.4,1,4.0,6,1,-0.04
39.0,2.8,2,3.0,3,1,1.15
37.0,3.1,1,4.0,3,1,1.08
39.0,3.0,1,4.0,4,1,0.32
39.0,4.0,1,4.0,4,1,1.32
33.0,3.1,1,3.0,3,1,-0.06
43.0,3.4,1,4.0,5,1,-0.75
32.0,3.0,1,3.0,3,1,-1.7
39.0,3.3,1,3.0,6,1,0.67
45.0,3.5,1,4.0,6,1,0.13
32.0,3.9,1,4.0,3,1,0.38
39.0,3.7,1,3.0,3,1,-0.12
40.0,3.9,1,2.0,5,1,0.13
41.0,3.6,1,4.0,4,1,0.19
34.0,2.9,2,3.0,2,1,0.68
35.0,2.6,1,3.0,2,1,-1.17
42.0,2.9,1,4.0,4,1,-0.81
47.0,3.2,1,4.0,3,1,0.45
36.0,3.9,1,5.0,4,1,0.0
39.0,3.4,1,5.0,5,1,-0.24
29.0,2.7,1,3.0,1,0,0.58
46.0,3.1,1,4.0,4,1,0.42
42.0,3.3,1,3.0,1,1,-0.65
46.0,3.5,1,5.0,6,1,-1.53
38.0,3.0,1,4.0,4,1,1.56
40.0,2.8,2,4.0,4,1,1.13
46.0,2.9,1,4.0,3,1,1.26
22.0,3.3,2,4.0,4,0,-0.52
40.0,3.7,1,3.0,3,1,-1.08
27.0,2.7,1,4.0,4,0,-0.81
40.0,3.2,1,5.0,3,1,0.14
39.0,3.5,1,3.0,4,1,0.16
31.0,2.7,1,3.0,3,0,-1.77
37.0,3.6,1,4.0,3,1,0.25
27.5,3.1,1,4.0,4,1,-0.11
44.0,2.9,1,4.0,4,1,-1.83
38.0,3.1,1,3.0,3,1,0.32
37.0,3.3,1,4.0,6,1,0.57
39.0,3.5,1,4.0,6,0,-1.72
33.0,3.0,1,4.0,3,1,-1.34
34.0,3.5,2,4.0,3,1,0.88
40.5,3.6,1,4.0,5,1,-1.4
43.0,3.3,1,3.0,3,1,1.12
41.0,3.0,1,2.0,4,1,-0.23
48.0,3.5,1,2.0,4,1,1.26
42.0,3.1,1,3.0,4,1,-0.23
29.5,3.6,1,4.0,3,1,0.36
40.0,3.4,1,5.0,5,1,-0.16
35.0,3.3,1,4.0,4,1,0.1
33.0,3.1,1,4.0,2,1,-0.29
33.0,3.5,1,3.0,3,1,-0.27
42.0,3.5,1,3.0,4,1,1.63
44.0,3.6,1,3.0,4,1,1.19
39.0,3.5,1,2.0,3,1,0.55
46.0,3.1,1,4.0,5,1,0.61
42.0,3.4,1,4.0,4,1,-0.1
48.0,3.8,1,4.0,4,1,1.3
37.0,3.0,1,4.0,3,1,1.72
30.3,2.7,1,4.0,2,1,0.32
40.0,3.0,1,4.0,4,1,0.47
47.0,2.9,1,4.0,5,1,0.02
39.0,2.4,1,3.0,3,1,-1.04
38.0,3.6,1,4.0,3,1,0.72
40.0,3.2,2,4.0,3,1,-0.51
40.0,3.4,1,4.0,3,1,0.95
37.0,2.3,1,2.0,4,0,-0.9
34.0,3.6,1,4.0,4,1,1.22
39.0,3.2,1,4.0,4,1,0.46
35.0,3.5,1,4.0,3,1,0.07
45.0,3.8,1,3.0,6,1,-0.3
32.0,3.7,1,3.0,4,1,-0.35
36.0,3.2,1,4.0,4,1,0.28
40.0,2.5,1,1.0,4,0,-0.78
33.0,3.2,1,4.0,4,1,0.33
40.0,1.7,1,4.0,1,1,0.11
35.0,2.7,1,3.0,2,1,0.1
29.0,3.3,1,4.0,3,1,1.4
42.0,3.4,1,4.0,5,1,-0.03
40.0,3.4,1,4.0,6,1,-0.95
38.0,2.9,1,3.0,3,1,0.98
45.0,3.2,1,4.0,4,1,0.34
39.0,3.7,1,4.0,3,1,1.12
39.0,2.6,1,3.0,3,1,-0.71
35.0,3.8,1,4.0,3,1,1.16
31.0,3.2,1,4.0,3,1,-1.87
37.0,3.2,1,3.0,4,1,-0.89
45.0,3.5,1,3.0,5,1,-0.08
19.0,3.0,1,1.0,3,0,-2.31
40.0,3.1,1,4.0,3,1,-2.05
41.0,3.4,1,3.0,3,1,-1.18
26.5,2.8,2,2.0,5,1,-0.69
41.0,3.8,1,4.0,6,1,0.25
40.0,3.8,1,3.0,4,1,-0.46
29.0,3.1,1,3.0,2,0,-1.39
41.0,3.4,1,4.0,6,1,0.52
33.0,3.9,1,4.0,3,1,0.07
31.0,3.5,1,4.0,3,1,-0.75
38.0,3.0,1,4.0,4,1,1.44
44.0,3.3,1,3.0,6,1,0.76
37.0,3.3,1,3.0,4,1,-0.04
47.0,3.8,1,4.0,4,1,1.65
26.0,2.6,2,3.0,2,1,-0.32
35.5,3.9,1,3.0,4,1,0.64
41.0,3.4,1,4.0,4,1,1.85
43.0,2.5,1,3.0,4,1,-1.01
39.0,3.7,1,3.0,3,1,-0.88
46.0,3.3,1,4.0,3,1,0.26
31.0,3.1,2,4.0,3,1,1.65
34.0,3.2,1,3.0,3,1,0.47
34.0,2.7,1,3.0,2,1,1.03
35.0,3.2,1,3.0,2,1,-0.97
32.5,3.4,1,3.0,4,1,0.27
33.0,3.3,1,4.0,4,1,2.14
37.0,3.1,2,4.0,2,1,-0.02
40.0,3.4,2,2.0,5,1,0.07
42.0,3.5,1,4.0,4,1,3.12
36.0,2.9,1,4.0,2,1,1.85
36.0,3.9,2,3.0,5,1,-0.6
33.5,2.9,1,3.0,3,1,0.11
33.0,3.9,1,3.0,5,1,-0.68
40.0,3.5,1,4.0,4,1,0.76
40.0,3.8,1,4.0,6,1,-0.51
37.0,2.9,1,4.0,3,1,-1.09
37.0,3.4,1,2.0,4,1,-0.79
40.0,3.4,1,4.0,3,1,1.52
30.5,3.4,1,3.0,2,1,-0.86
37.0,3.4,1,2.0,3,1,0.55
42.0,3.0,1,4.0,4,1,-0.12
34.0,3.3,2,3.0,3,1,0.42
32.0,3.5,1,3.0,4,1,0.14
26.0,3.2,1,3.0,3,1,-1.68
30.0,3.3,1,4.0,4,0,-1.42
45.0,3.5,1,5.0,5,1,-0.79
30.0,3.8,1,2.0,4,0,-0.72
38.0,3.8,1,4.0,4,1,0.68
34.0,3.7,1,3.0,5,1,0.52
45.0,3.4,1,5.0,4,1,0.48
40.0,2.9,1,4.0,4,1,0.02
45.0,3.4,1,4.0,4,1,0.36
37.0,3.0,1,4.0,4,1,-1.35
31.0,3.2,1,4.0,2,1,-1.08
48.0,3.5,1,4.0,5,1,0.87
25.5,3.0,1,4.0,4,0,-1.92
40.0,2.5,1,3.0,3,1,1.1
40.0,3.4,1,4.0,3,1,0.63
41.0,3.4,1,4.0,4,1,0.44
33.5,2.9,1,3.0,3,1,-0.91
41.0,3.1,1,2.0,4,1,0.8
40.0,3.1,1,4.0,4,1,-0.22
36.0,3.1,1,4.0,3,1,0.5
36.0,3.6,1,3.0,3,1,0.53
45.0,3.9,1,3.0,5,1,-1.02
39.0,3.6,2,3.0,4,1,0.78
35.0,3.7,2,3.0,4,1,0.2
37.0,3.3,1,3.0,4,1,-1.44
36.0,2.9,1,3.0,4,1,-1.78
41.0,2.8,1,3.0,5,1,0.89
46.0,3.7,1,2.0,2,1,2.43
47.0,3.1,1,1.0,4,1,0.66
46.0,3.9,1,4.0,5,1,-0.23
36.0,2.9,1,3.0,2,1,-0.52
33.0,3.5,1,4.0,4,1,-1.09
37.0,3.1,1,4.0,3,1,-0.41
29.0,3.0,1,4.0,3,0,-0.32
36.0,3.2,1,3.0,5,1,-0.56
42.0,3.5,1,4.0,6,1,-0.42
41.0,2.8,1,3.0,4,1,1.27
47.0,3.9,2,2.0,4,1,0.49
44.0,3.4,1,5.0,4,1,0.55
40.5,3.7,1,3.0,5,1,-0.2
29.0,2.8,1,2.0,3,1,-0.77
36.0,2.2,1,3.0,5,0,-1.61
39.0,3.5,1,2.0,4,1,-0.12
39.0,3.8,1,3.0,3,1,-1.32
35.0,3.9,1,3.0,4,1,0.11
33.0,3.1,1,3.0,3,0,-1.5
37.0,3.4,1,4.0,4,1,1.53
39.0,3.8,1,4.0,4,1,0.55
41.0,2.8,1,4.0,3,1,0.84
28.5,3.5,1,3.0,2,1,0.27
40.0,3.0,1,3.0,4,1,2.05
35.0,3.2,1,3.0,2,1,0.33
33.0,2.7,2,4.0,3,1,1.67
32.5,3.4,1,5.0,3,1,0.77
44.0,3.9,1,2.0,4,1,1.03
43.0,3.9,1,4.0,6,1,1.23
32.0,3.0,1,5.0,2,1,0.42
37.0,3.2,1,3.0,3,1,-0.3
39.0,3.2,1,5.0,5,1,-1.14
37.0,3.1,1,5.0,3,1,-0.47
44.0,3.1,1,3.0,5,1,1.22
26.5,3.9,1,1.0,3,1,-1.88
34.5,3.2,1,4.0,2,1,0.55
41.0,2.9,1,3.0,4,1,-0.78
36.5,3.3,1,4.0,5,1,0.77
40.0,2.8,1,4.0,3,1,0.64
42.0,3.6,1,3.0,4,1,1.15
46.0,3.9,1,3.0,6,1,0.09
38.5,3.2,1,4.0,3,1,0.37
39.0,3.2,1,4.0,3,1,1.38
34.0,3.4,1,5.0,4,1,-0.32
38.0,3.0,1,5.0,3,1,-0.01
42.0,4.0,1,2.0,6,1,-0.27
39.0,2.6,2,2.0,3,1,1.07
38.0,2.8,1,4.0,5,1,0.55
36.0,3.7,1,3.0,4,1,-1.09
36.0,3.7,1,4.0,3,1,-0.42
37.0,3.3,1,2.0,4,1,1.33
32.0,3.1,1,4.0,2,1,1.09
34.0,3.5,1,3.0,3,1,0.45
43.0,3.7,1,3.0,6,1,-0.92
36.5,3.5,1,2.0,6,1,0.18
40.0,3.4,1,3.0,4,1,0.19
38.0,3.4,1,4.0,4,1,0.73
33.0,3.7,1,3.0,3,1,0.29
38.0,3.5,1,1.0,4,1,-0.2
46.0,2.6,1,3.0,3,1,-0.31
38.0,2.9,1,4.0,3,0,-0.4
41.0,3.0,1,5.0,3,1,-0.83
34.0,3.5,1,4.0,3,1,-1.22
41.0,2.9,1,4.0,2,1,0.24
38.0,3.1,1,5.0,4,1,-0.72
38.0,3.8,1,4.0,3,1,0.89
20.0,3.1,1,3.0,2,1,-1.37
28.0,3.8,1,3.0,3,0,-1.48
34.0,3.2,1,3.0,4,1,-0.92
37.0,3.7,1,5.0,5,1,1.79
41.0,2.7,1,5.0,5,1,0.09
40.0,3.0,1,5.0,3,1,0.61
26.0,2.3,1,3.0,2,0,-1.58
36.0,2.9,2,3.0,3,1,1.21
45.0,3.5,1,4.0,4,1,0.62
46.0,3.3,1,4.0,6,1,1.13
37.0,3.5,1,4.0,5,1,0.94
40.0,2.8,1,4.0,5,1,1.07
29.0,3.5,1,4.0,3,1,0.19
39.0,3.7,1,4.0,6,1,-0.79
34.0,3.2,1,3.0,2,1,0.36
33.5,3.3,1,4.0,3,1,-0.06
31.0,3.7,1,4.0,2,1,1.68
33.0,3.6,1,3.0,3,1,0.23
37.0,2.9,1,4.0,5,1,-0.45
42.0,3.4,1,4.0,3,1,0.67
38.0,3.6,1,4.0,3,1,0.42
45.0,3.9,1,3.0,5,1,0.28
38.0,3.5,1,4.0,4,1,1.27
34.0,3.7,1,4.0,4,1,0.17
31.0,3.2,1,3.0,4,1,0.88
38.0,3.6,1,5.0,4,1,-1.13
35.0,3.3,1,4.0,3,1,0.18
35.0,2.9,2,3.0,5,1,-0.65
39.0,3.9,1,3.0,6,1,-0.03
39.5,3.5,1,4.0,4,1,-0.29
36.0,3.5,1,3.0,4,1,0.14
42.0,3.5,1,4.0,5,1,-0.91
41.0,3.5,1,5.0,4,1,-1.44
40.5,3.2,1,4.0,3,1,1.04
31.5,3.7,1,3.0,5,1,-0.67
35.0,3.4,1,4.0,3,1,-1.48
35.0,3.2,2,3.0,4,1,-0.11
42.0,3.3,1,4.0,4,1,0.83
29.0,2.6,1,4.0,4,0,-1.53
45.0,3.5,1,4.0,4,1,0.29
36.0,3.3,1,4.0,6,1,0.6
39.0,2.9,1,3.0,3,1,1.77
40.0,2.9,1,4.0,4,1,1.41
33.0,3.5,1,4.0,3,1,0.87
34.0,3.7,2,2.0,3,1,-1.71
36.0,2.7,1,4.0,3,1,0.47
29.0,3.8,1,3.0,2,1,1.03
38.0,3.6,1,4.0,4,1,-0.67
28.0,2.1,1,3.0,3,0,-1.97
45.0,2.8,1,4.0,4,1,-0.58
37.5,3.7,1,4.0,5,1,-0.06
43.0,3.4,1,4.0,4,1,0.27
39.0,3.1,1,4.0,4,1,0.09
29.0,3.1,1,3.0,2,1,-1.09
42.0,3.4,1,4.0,5,1,-0.31
35.0,2.7,1,3.0,2,1,-1.3
45.0,3.1,1,3.0,5,1,-0.48
38.0,3.1,1,4.0,3,1,-1.26
40.0,3.1,1,3.0,3,1,-0.95
28.0,3.4,1,4.0,3,1,0.37
30.5,3.3,1,3.0,3,1,-0.99
31.3,2.9,1,3.0,3,1,-0.11
38.0,2.8,1,5.0,3,1,-1.06
39.0,3.3,1,3.0,4,1,-2.29
42.0,3.5,2,4.0,3,1,2.05
38.0,3.8,1,4.0,6,1,0.77
34.0,3.6,1,3.0,4,1,0.67
41.0,3.2,1,4.0,4,1,0.48
44.0,3.2,1,3.0,4,1,-1.05
43.0,2.8,1,3.0,4,1,-0.44
36.0,3.1,1,4.0,3,1,0.59
40.0,3.4,1,3.0,4,1,-1.81
45.0,3.8,1,5.0,5,1,1.58
39.0,3.5,1,3.0,3,1,0.59
46.0,3.7,1,5.0,6,1,0.94
30.5,3.1,1,4.0,3,1,-1.54
42.0,3.0,1,4.0,3,1,1.39
35.0,3.3,1,4.0,5,1,0.24
40.5,2.1,1,3.0,5,1,-0.33
37.0,3.8,1,4.0,4,1,0.17
42.0,3.7,1,4.0,5,1,1.65
39.0,3.5,1,3.0,4,1,1.69
42.0,3.4,1,4.0,2,1,0.43
34.0,3.2,1,4.0,3,1,1.8
34.3,2.6,1,4.0,3,1,-0.68
31.5,3.2,1,3.0,3,1,0.85
32.0,2.4,2,3.0,4,0,-1.2
30.0,2.6,1,5.0,4,1,0.4
36.0,3.9,1,4.0,4,1,-0.33
41.0,3.6,1,4.0,5,1,-0.74
33.0,2.5,1,4.0,2,1,-0.76
39.0,3.5,1,3.0,3,1,1.49
41.0,3.1,1,2.0,3,1,0.44
36.0,2.9,1,4.0,2,1,-0.07
38.0,2.9,1,4.0,4,1,0.28
35.0,3.6,1,3.0,3,1,0.31
27.5,3.6,1,1.0,3,1,1.97
45.0,3.9,1,4.0,6,1,1.62
40.0,3.8,1,3.0,3,1,1.72
40.0,2.8,2,3.0,3,1,0.91
40.0,3.5,1,4.0,6,1,0.26
31.0,2.9,1,3.0,2,1,0.17
36.0,3.4,1,4.0,4,1,-0.47
39.0,3.4,1,4.0,4,1,-0.9
46.0,3.5,1,3.0,5,1,0.52
43.0,3.0,1,4.0,5,1,0.24
44.0,3.9,1,3.0,6,1,-0.56
37.0,3.9,1,2.0,4,1,2.05
35.0,3.3,1,3.0,4,1,0.36
47.0,3.8,1,4.0,6,1,-1.76
41.0,3.4,1,3.0,4,1,0.83
39.0,3.3,1,4.0,3,1,0.41
48.0,3.3,1,4.0,4,1,-0.06
30.5,2.6,1,4.0,4,1,-0.43
32.0,3.5,2,3.0,5,1,0.4
36.0,2.6,2,4.0,5,1,-0.53
31.0,3.7,1,3.0,5,1,0.25
41.0,2.9,1,4.0,4,1,0.74
37.0,3.0,1,3.0,4,1,-0.54
38.0,3.0,1,3.0,3,1,-0.24
36.0,2.4,1,5.0,2,1,-0.42
40.0,3.0,1,3.0,3,1,1.06
40.0,3.7,2,4.0,1,1,2.38
37.0,3.0,1,2.0,3,1,0.67
31.5,2.9,1,4.0,2,1,-1.13
42.0,3.1,1,4.0,3,1,1.74
20.0,2.2,1,3.0,1,0,1.25
44.0,3.7,1,4.0,5,1,0.01
38.0,3.7,2,3.0,2,1,0.0
35.5,3.7,1,3.0,3,1,1.39
38.0,3.3,1,3.0,5,1,0.45
33.7,2.6,1,2.0,3,1,-0.83
25.0,2.5,1,5.0,2,1,-1.7
37.0,3.0,1,4.0,3,1,0.14
31.0,3.1,1,3.0,3,1,-0.02
41.0,3.2,1,3.0,4,1,-0.87
31.5,3.4,1,4.0,3,1,-0.69
36.0,3.1,1,3.0,2,1,1.14
43.0,2.9,1,4.0,5,1,1.63
37.0,2.7,1,4.0,3,1,-0.3
36.0,3.3,1,4.0,4,1,0.82
42.0,3.4,2,3.0,5,1,-1.73
35.0,3.1,1,1.0,2,1,-1.14
38.0,3.1,1,3.0,4,1,-0.62
44.0,3.5,1,4.0,6,1,1.09
36.0,3.9,1,3.0,5,1,2.09
42.0,2.7,1,5.0,4,1,0.4
36.0,3.6,1,2.0,3,1,-0.29
46.0,3.6,1,4.0,6,1,-0.37
38.0,3.1,1,3.0,4,1,-0.13
42.0,2.8,1,3.0,3,1,2.22
42.0,3.7,1,4.0,4,1,0.3
48.0,2.7,1,4.0,4,1,-0.26
34.0,3.8,1,3.0,4,1,-0.06
41.0,3.5,1,4.0,4,1,1.64
36.0,3.2,1,4.0,4,1,-0.18
34.0,2.7,1,5.0,3,1,0.42
34.0,3.6,1,3.0,3,1,-0.68
39.0,3.7,1,3.0,4,1,-0.67
39.0,3.4,1,4.0,4,1,-0.97
35.0,3.0,1,4.0,3,1,0.18
39.0,3.5,2,3.0,3,1,1.85
40.0,3.6,1,3.0,4,1,1.05
35.0,2.2,1,2.0,4,0,-1.79
34.0,2.9,2,3.0,3,1,0.35
37.0,3.5,1,1.0,4,1,-0.53
31.5,3.7,1,2.0,4,1,-0.83
37.0,3.3,1,2.0,4,1,1.3
37.0,3.8,1,4.0,4,1,1.59
45.0,2.9,1,5.0,4,1,-0.84
34.0,2.6,1,2.0,2,1,1.2
43.0,3.4,1,3.0,5,1,-1.2
38.0,2.8,1,3.0,4,1,0.59
42.0,3.1,1,5.0,4,1,-0.28
42.0,2.4,1,3.0,3,1,-0.95
41.0,3.1,1,3.0,3,1,2.08
42.0,3.4,1,3.0,3,1,1.02
34.0,3.2,1,3.0,2,1,0.64
44.0,2.9,1,4.0,6,1,1.01
34.0,3.5,1,3.0,3,1,-0.04
39.5,3.0,1,4.0,4,1,-2.47
39.0,3.2,1,4.0,3,1,-1.29
28.5,3.1,2,4.0,3,1,-1.28
41.0,3.7,1,4.0,3,1,0.56
43.0,3.0,1,4.0,4,1,-0.52
43.0,3.1,1,4.0,6,1,0.26
28.5,3.1,1,3.0,2,1,-0.6
28.0,2.5,1,1.0,4,0,-1.81
39.0,3.3,1,4.0,4,1,-0.42
44.0,1.5,2,3.0,3,1,1.42
32.0,3.0,1,3.0,4,1,-0.85
22.5,3.0,1,2.0,5,0,-2.65
27.0,3.4,1,3.0,4,1,-1.25
41.0,3.5,1,4.0,4,1,-2.02
